Type,Region Name,Size,,,,,,,,,,,,,,,
ATTR_ZIDATA_IN_DRAM,gDmmDramRegion1,500000,,,,,,,,,,,,,,,
ATTR_ZIDATA_IN_DRAM,gDmmDramRegion2,25000,,,,,,,,,,,,,,,
ATTR_ZIDATA_IN_DRAM,gDmmDramRegion3,150000,,,,,,,,,,,,,,,
ATTR_ZIDATA_IN_DRAM,gDmmDramRegion4,4600,,,,,,,,,,,,,,,
ATTR_ZIDATA_IN_IRAM,gDmmIramRegion1,120000,,,,,,,,,,,,,,,
ATTR_ZIDATA_IN_IRAM,gDmmIramRegion2,8500,,,,,,,,,,,,,,,
ATTR_ZIDATA_IN_IRAM,gDmmIramRegion3,40000,,,,,,,,,,,,,,,
ATTR_ZIDATA_IN_IRAM,gDmmIramRegion4,0,,,,,,,,,,,,,,,
ATTR_ZIDATA_IN_SYSRAM,gDmmSysramRegion1,50000,,,,,,,,,,,,,,,
ATTR_ZIDATA_IN_SYSRAM,gDmmSysramRegion2,0,,,,,,,,,,,,,,,
ATTR_ZIDATA_IN_SYSRAM,gDmmSysramRegion3,0,,,,,,,,,,,,,,,
ATTR_ZIDATA_IN_SYSRAM,gDmmSysramRegion4,0,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
TotalComponentType_t,,,,,,,,,,,,,,,,,
A2DP,,,,,,,,,,,,,,,,,
HFP,,,,,,,,,,,,,,,,,
LE_AUDIO,,,,,,,,,,,,,,,,,
LE_CALL,,,,,,,,,,,,,,,,,
LINEIN,,,,,,,,,,,,,,,,,
USB,,,,,,,,,,,,,,,,,
ESA,,,,,,,,,,,,,,,,,
MULTI_MIC,,,,,,,,,,,,,,,,,
OPT,,,,,,,,,,,,,,,,,
WIRED_AUDIO,,,,,,,,,,,,,,,,,
WWE,,,,,,,,,,,,,,,,,
RECORD,,,,,,,,,,,,,,,,,
VP,,,,,,,,,,,,,,,,,
1,HFP,8,,HFP_CLKSKEW_UL,FUNC_CLK_SKEW_HFP_UL,,,gDmmIramRegion1,0,DSP_PREDEFINE_HFP_CLKSKEW_UL_IRAM,gDmmDramRegion1,1800,DSP_PREDEFINE_HFP_CLKSKEW_UL_DRAM,gDmmSysramRegion1,0,DSP_PREDEFINE_HFP_CLKSKEW_UL_SYSRAM,1672(working buffer)
1,HFP,8,end,,,,,gDmmIramRegion1,,,gDmmDramRegion1,,,gDmmSysramRegion1,,,
1,HFP,9,start,,,,,gDmmIramRegion1,,,gDmmDramRegion1,,,gDmmSysramRegion1,,,
1,HFP,9,,HFP_ECNR_DL,FUNC_TX_NR,AIR_VOICE_NR_ENABLE = y,,gDmmIramRegion1,0,DSP_PREDEFINE_HFP_ECNR_DL_IRAM,gDmmDramRegion1,88352,DSP_PREDEFINE_HFP_ECNR_DL_DRAM,gDmmSysramRegion1,0,DSP_PREDEFINE_HFP_ECNR_DL_SYSRAM,"Inhouse part: 32872(working buffer)
AINR part: 51464(working buffer)"
1,HFP,9,end,,,,,gDmmIramRegion1,,,gDmmDramRegion1,,,gDmmSysramRegion1,,,
1,HFP,10,start,,,,,gDmmIramRegion1,,,gDmmDramRegion1,,,gDmmSysramRegion1,,,
1,HFP,10,,HFP_TX_EQ,FUNC_TX_EQ,AIR_3RD_PARTY_NR_ENABLE = y,,gDmmIramRegion1,0,DSP_PREDEFINE_HFP_TX_EQ_IRAM,gDmmDramRegion1,0,DSP_PREDEFINE_HFP_TX_EQ_DRAM,gDmmSysramRegion1,0,DSP_PREDEFINE_HFP_TX_EQ_SYSRAM,Don't use for AINR
1,HFP,10,end,,,,,gDmmIramRegion1,,,gDmmDramRegion1,,,gDmmSysramRegion1,,,
1,HFP,11,start,,,,,gDmmIramRegion1,,,gDmmDramRegion1,,,gDmmSysramRegion1,,,
1,HFP,11,,HFP_VOICE_DRC_DL,FUNC_TX_WB_DRC,AIR_VOICE_DRC_ENABLE = y,,gDmmIramRegion1,0,DSP_PREDEFINE_HFP_VOICE_DRC_DL_IRAM,gDmmDramRegion1,672,DSP_PREDEFINE_HFP_VOICE_DRC_DL_DRAM,gDmmSysramRegion1,0,DSP_PREDEFINE_HFP_VOICE_DRC_DL_SYSRAM,624(working buffer)
